InputListSize,Test1Results,Test2Results,Test3Results
0,0,0,0
100,0,0,0
200,0,0,0
300,0,0,0
400,0,0,0
500,1,0,0
600,1,0,0
700,3,0,0
800,3,0,0
900,2,0,0
1000,3,0,0
1100,4,0,0
1200,5,0,0
1300,7,0,0
1400,7,0,0
1500,9,0,0
1600,8,0,0
1700,10,0,0
1800,12,0,0
1900,13,0,0
2000,12,0,0
2100,16,0,0
2200,18,0,0
2300,20,0,0
2400,19,0,0
2500,19,0,0
2600,18,0,0
2700,19,0,0
2800,21,0,0
2900,23,0,0
3000,26,0,0
3100,27,0,0
3200,30,0,0
3300,31,0,0
3400,36,0,0
3500,41,0,0
3600,41,0,0
3700,46,0,0
3800,46,0,0
3900,43,0,0
4000,46,0,0
4100,49,0,0
4200,57,0,0
4300,63,0,0
4400,67,0,0
4500,56,0,0
4600,70,0,0
4700,63,0,0
4800,64,0,0
4900,68,0,0
5000,75,0,0
5100,89,0,0
5200,83,0,0
5300,82,0,0
5400,80,0,0
5500,85,0,0
5600,93,0,0
5700,88,0,0
5800,92,0,0
5900,98,0,0
6000,100,0,0
6100,100,0,0
6200,117,0,0
6300,136,0,0
6400,134,0,0
6500,128,0,0
6600,139,0,0
6700,137,0,0
6800,130,0,0
6900,191,0,0
7000,178,0,0
7100,151,0,0
7200,154,0,0
7300,179,0,0
7400,221,0,0
7500,209,0,0
7600,206,0,0
7700,200,0,0
7800,203,0,0
7900,178,0,0
8000,210,0,0
8100,187,0,0
8200,217,0,0
8300,188,0,0
8400,217,0,0
8500,210,0,0
8600,210,0,0
8700,219,0,0
8800,220,0,0
8900,224,0,0
9000,242,0,0
9100,243,0,0
9200,240,0,0
9300,251,0,0
9400,266,0,0
9500,271,0,0
9600,271,0,0
9700,286,0,0
9800,309,0,0
9900,282,0,0
10000,305,0,0
10100,323,0,0
10200,345,0,0
10300,339,0,0
10400,326,0,0
10500,329,0,0
10600,331,0,0
10700,333,0,0
10800,355,0,0
10900,351,0,0
11000,379,0,0
11100,364,0,0
11200,363,0,0
11300,387,0,0
11400,402,0,0
11500,405,0,0
11600,394,0,0
11700,394,0,0
11800,503,0,0
11900,444,0,0
12000,454,0,0
12100,477,0,0
12200,463,0,0
12300,505,0,0
12400,475,0,0
12500,480,0,0
12600,498,0,0
12700,594,0,0
12800,478,0,0
12900,523,0,0
13000,523,0,0
13100,551,0,0
13200,617,0,0
13300,646,0,0
13400,575,0,0
13500,565,0,0
13600,548,0,0
13700,569,0,0
13800,812,0,0
13900,598,0,0
14000,584,0,0
14100,610,0,0
14200,687,0,0
14300,612,0,0
14400,640,0,0
14500,682,0,0
14600,657,0,0
14700,706,0,0
14800,643,0,0
14900,620,0,0
15000,646,0,0
15100,669,0,0
15200,662,0,0
15300,695,0,0
15400,684,0,0
15500,720,0,0
15600,788,0,0
15700,812,0,0
15800,736,0,0
15900,738,0,1
16000,927,0,3
16100,816,0,0
16200,853,0,0
16300,800,0,0
16400,836,0,0
16500,883,0,0
16600,879,1,0
16700,1004,0,0
16800,905,0,0
16900,909,0,0
17000,983,0,0
17100,925,0,0
17200,955,0,0
17300,959,0,0
17400,939,0,0
17500,1017,0,0
17600,995,0,0
17700,978,0,0
17800,942,0,0
17900,1026,0,0
18000,965,0,0
18100,965,0,0
18200,993,0,0
18300,1015,0,0
18400,1057,0,0
18500,1023,0,1
18600,1019,0,0
18700,1041,0,0
18800,997,1,0
18900,1052,0,0
19000,1011,0,0
19100,1063,0,0
19200,1127,0,0
19300,975,0,0
19400,983,0,0
19500,1025,0,0
19600,1081,0,0
19700,1049,1,0
19800,1231,1,0
19900,1221,0,0
