InputIndices,TestResults
0,0
100,0
200,1
300,1
400,2
500,2
600,3
700,3
800,5
900,6
1000,8
1100,7
1200,8
1300,9
1400,10
1500,10
1600,12
1700,11
1800,12
1900,13
2000,13
2100,14
2200,15
2300,16
2400,17
2500,19
2600,18
2700,19
2800,20
2900,20
3000,20
3100,23
3200,22
3300,22
3400,24
3500,23
3600,24
3700,26
3800,28
3900,27
4000,32
4100,30
4200,29
4300,35
4400,30
4500,31
4600,31
4700,32
4800,34
4900,33
5000,36
5100,39
5200,34
5300,36
5400,38
5500,37
5600,40
5700,42
5800,40
5900,41
6000,42
6100,44
6200,43
6300,43
6400,44
6500,45
6600,51
6700,49
6800,49
6900,51
7000,68
7100,50
7200,55
7300,53
7400,56
7500,52
7600,64
7700,55
7800,62
7900,54
8000,57
8100,61
8200,68
8300,64
8400,68
8500,67
8600,65
8700,65
8800,66
8900,69
9000,69
9100,70
9200,72
9300,69
9400,71
9500,70
9600,79
9700,73
9800,71
9900,73
10000,77
10100,77
10200,90
10300,79
10400,76
10500,79
10600,84
10700,84
10800,98
10900,85
11000,84
11100,85
11200,87
11300,86
11400,85
11500,86
11600,91
11700,89
11800,90
11900,91
12000,91
12100,92
12200,107
12300,93
12400,104
12500,92
12600,109
12700,99
12800,125
12900,114
13000,117
13100,98
13200,97
13300,96
13400,108
13500,100
13600,104
13700,99
13800,100
13900,104
14000,103
14100,104
14200,103
14300,103
14400,124
14500,104
14600,106
14700,111
14800,114
14900,111
15000,112
15100,110
15200,114
15300,111
15400,120
15500,116
15600,113
15700,118
15800,120
15900,137
16000,128
16100,116
16200,117
16300,122
16400,121
16500,122
16600,122
16700,127
16800,124
16900,127
17000,126
17100,129
17200,131
17300,155
17400,131
17500,132
17600,137
17700,143
17800,132
17900,165
18000,138
18100,136
18200,136
18300,138
18400,140
18500,158
18600,135
18700,141
18800,147
18900,143
19000,143
19100,146
19200,145
19300,153
19400,157
19500,152
19600,154
19700,143
19800,148
19900,161
